"University Of Texas At Austin","Chemistry","PhD (F19)","Rejected"," E-mail","27 Mar 2019","","","","","","A","26 Mar 2019","Just says denied."
"Brown University","Chemistry","PhD (F19)","Rejected"," Website","7 Mar 2019","  3.40","158","163","4.50","","A","9 Mar 2019","Email to check decision on website"
"Cornell University","Chemistry","PhD (F19)","Rejected"," E-mail","1 Mar 2019","  3.50","151","167","4.00","","U","8 Mar 2019",""
"University Of Virginia","Chemistry","PhD (F19)","Accepted"," E-mail","19 Feb 2019","","","","","","I","8 Mar 2019","TPB: I was interviewed on 14/2 and received my acceptance on the 19th."
"UPenn","Chemistry","Other (F19)","Rejected"," E-mail","20 Feb 2019","","","","","","","8 Mar 2019","To the poster below, I applied for inorganic/materials."
"Brown University","Chemistry","PhD (F19)","Rejected"," E-mail","7 Mar 2019","","","","","","O","8 Mar 2019",""
"University Of Virginia","Chemistry","PhD (F19)","Other"," Other","8 Mar 2019","","","","","","U","7 Mar 2019","Has anyone heard anything from UVA? my interview was 3 weeks ago and I'm getting worried;("
"Brown University","Chemistry","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","U","7 Mar 2019",""
"University Of Southern California","Chemistry","PhD (F19)","Accepted"," E-mail","22 Feb 2019","  3.90","143","169","3.00","","I","7 Mar 2019","A good SOP and enough research experience with strong LOR"
"University Of Florida","Chemistry","PhD (F19)","Accepted"," E-mail","22 Feb 2019","  3.90","143","169","3.00","","I","7 Mar 2019",""
"Purdue University","Chemistry","PhD (F19)","Accepted"," E-mail","2 Feb 2019","  3.90","143","169","3.00","","I","7 Mar 2019","Had strong LORs and a decent SOP"
"UC RIVERSIDE","Chemistry","PhD (F19)","Accepted"," E-mail","17 Jan 2019","","","","","","A","6 Mar 2019","Honestly, I regret applying + they only offered me 18K a year. I got into a much better school and should have just believed that I could do much better than going to one of the worst UCs for grad school."
"Rice University","Chemistry","PhD (F19)","Rejected"," E-mail","13 Feb 2019","","","","","","A","6 Mar 2019","Funny thing is that the program reached out to me and then I was rejected, I guess you should never get your hopes up too high!"
"Emory University","Chemistry","PhD (F19)","Accepted"," Phone","19 Dec 2018","","","","","","A","6 Mar 2019",""
"UPenn","Chemistry","PhD (F19)","Wait listed"," E-mail","6 Mar 2019","","","","","","","6 Mar 2019","To the poster below, can I ask your what’s your research field? Organic, Physical chemistry or else? Thanks!"
"University Of Pennsylvania","Chemistry","PhD (F19)","Wait listed"," E-mail","6 Mar 2019","","","","","","I","6 Mar 2019","Please...give them your decision as soon as possible !!!"
"University Of Pennsylvania","Chemistry","PhD (F19)","Wait listed"," E-mail","6 Mar 2019","","","","","","A","6 Mar 2019",""
"University Of Pennsylvania","Chemistry","PhD (F19)","Wait listed"," E-mail","6 Mar 2019","","","","","","I","6 Mar 2019",""
"UC Santa Barbara","Chemistry","PhD (F19)","Accepted"," E-mail","22 Jan 2019","","","","","","A","5 Mar 2019","No interview."
"University Of California, Davis","Chemistry","PhD (F19)","Accepted"," E-mail","27 Jan 2019","","","","","","A","5 Mar 2019","Received email from department first, then 3/1/19 received formal acceptance."
"Georgetown University","Chemistry","PhD (F19)","Accepted"," E-mail","19 Feb 2019","","","","","","U","4 Mar 2019","I have received an offer, but not an official admission statement yet. I was admitted almost 2 weeks ago. How long did it take for those who got accepted to receive the official letter of admission?"
"Duke University","Chemistry","PhD (F19)","Rejected"," E-mail","28 Feb 2019"," ","163","167","3.50","860","I","4 Mar 2019",""
"Northwestern University","Chemistry","PhD (F19)","Rejected"," E-mail","9 Feb 2019","","","","","","A","3 Mar 2019",""
"California Institute Of Technology","Chemistry","PhD (F19)","Rejected"," E-mail","1 Mar 2019","  3.30","153","156","4.00","750","A","2 Mar 2019",""
"Purdue University - West Lafayette","Chemistry","PhD (F19)","Rejected"," E-mail","12 Feb 2019","  3.29","158","161","4.00","740","I","1 Mar 2019",""
"University Of Wisconsin - Madison","Chemistry","PhD (F19)","Rejected"," E-mail","1 Mar 2019","  3.50","156","160","4.00","","A","1 Mar 2019","3 years research experience. 1 REU. 2 publications."
"Rutgers University - New Brunswick","Chemistry","PhD (F19)","Accepted"," E-mail","19 Jan 2019","","","","","","I","1 Mar 2019",""
"Cornell University","Chemistry","PhD (F19)","Rejected"," E-mail","28 Feb 2019","","","","","","A","28 Feb 2019",":("
"Univeristy Of Oxford","Inorganic Chemistry","PhD (F19)","Accepted"," E-mail","28 Feb 2019","","","","","","","28 Feb 2019",""
"The Scripps Research Institute","Chemistry","PhD (F19)","Other"," E-mail","28 Feb 2019","","","","","","I","28 Feb 2019","At this point, the admissions committee has sent out all interview invites. If you did not receive an invitation to interview, the final admissions decision will be sent via email during the week of March 11th."
"Duke University","Chemistry","PhD (F19)","Rejected"," Website","28 Feb 2019","","","","","","I","28 Feb 2019","Got an Email to check the website."
"UNC Chapel Hill","Physical Chemistry","PhD (F19)","Accepted"," E-mail","28 Feb 2019","  3.42","169","163","4.50","","A","28 Feb 2019","Apparently I was accepted by the pchem dept back in December, but the graduate school notification system messed up and never sent me my decision. Glad I emailed to ask my status."
"Duke University","Chemistry","PhD (F19)","Rejected"," Postal Service","28 Feb 2019","","","","","","U","28 Feb 2019","Expected. Wish the notification would come earlier tho :/"
"EPFL","Chemistry And Chemical Engineering","PhD (F19)","Other"," E-mail","28 Feb 2019","","","","","","I","28 Feb 2019","Have two separate interviews with POIs this week. They told me that they are still in the process of screening applicants and should be expected a formal outcome in two weeks."
"Dartmouth College","Chemistry","PhD (F19)","Accepted"," E-mail","27 Feb 2019","  3.73","150","170","0.00","","I","28 Feb 2019","Interviewed on Jan 30(EST) by Ivan Aprahamian and Chenfeng Ke. No publication, 2 years research exp in total synthesis, exchange to UT for one semester. 3 medium LoR."
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Rejected"," Website","27 Feb 2019","","","","","","","27 Feb 2019","Wasn't holding my breath for it. UCSF research assistant in a neuro systems biology lab."
"University Of Illinois, Chicago (UIC)","Chemistry","PhD (F19)","Accepted"," E-mail","26 Feb 2019","","","","","","I","27 Feb 2019",""
"Massachusetts Institute Of Technology (MIT)","Chemistry","PhD (F19)","Wait listed"," E-mail","26 Feb 2019","","","","","","I","27 Feb 2019","""evaluating whether they can increase class size"""
"Purdue University - West Lafayette","Chemistry","PhD (F19)","Accepted"," E-mail","1 Feb 2019","","","","","","I","26 Feb 2019",""
"University Of California, Irvine","Chemistry","PhD (F18)","Rejected"," E-mail","26 Feb 2019","","","","","","U","26 Feb 2019","To the poster below: That definitely happened to me and my friend last year. Eventhough we got a degree from the US, they still require TOEFL. I think that’s the policy of UCI to all the departments. They wrote me an email stating that TOEFL is waived only if I also got my high school degree in the US."
"University Of California, Irvine","Chemistry","PhD (F19)","Other"," E-mail","25 Feb 2019","  3.91","157","160","4.50","720","U","25 Feb 2019","The admissions committee emailed me in December telling me that my application was incomplete because I did not take the TOEFL. Keep in mind that I am from a country where English is the official language, that I completed my entire undergraduate degree with Honors in the US and that my work experience is ample proof of my english proficiency, which is why I did not bother to take the TOEFL in the first place.  However, the email was vague and did not suggest that I would not be considered for admissions without TOEFL. It simply hinted at the fact that I would not be able to serve as a TA. So, I figured that I would rely on other forms of funding (Research Assistantship, fellowships etc) and that it's not that big of a deal. What the email did not mention is that without TOEFL, my application would be tossed aside and would not even be considered for admission by the committee. I am very disappointed by their lack of clarity and professionalism. I also got into better programs, so I guess it was meant to happen."
"Georgetown University","Chemistry","PhD (F19)","Accepted"," E-mail","25 Feb 2019","  3.40","158","163","0.00","","A","25 Feb 2019",""
"University Of New Haven","Chemistry","Masters (F19)","Accepted"," E-mail","25 Feb 2019","","","","","","I","25 Feb 2019",""
"City University Of New York (CUNY)","Chemistry","PhD (F19)","Accepted"," Website","22 Feb 2019","  3.24","159","152","4.00","620","I","25 Feb 2019","Masters GPA 3.4 2+ years research experience No publications
Got an email to check website
CUNY Science Scholarship; GA and stipend = $30000"
"University Of Wisconsin-Madison","Chemistry","PhD (F19)","Wait listed"," E-mail","24 Feb 2019","  3.30","156","164","4.00","820","I","24 Feb 2019","Got a reply to my email saying that 90% admissions are over and I am on the wait list"
"California Institute Of Technology","Chemistry","PhD (F19)","Rejected"," E-mail","22 Feb 2019","","","","","","I","23 Feb 2019",""
"Duke University","Chemistry","PhD (F19)","Other"," Other","24 Feb 2019","","","","","","","23 Feb 2019","To the post below. I emailed them 10 days ago and have been told that all decisions will be finalized by March 1st."
"University Of California, Berkeley","Chemistry","PhD (F19)","Rejected"," E-mail","22 Feb 2019","  3.68","153","161","4.00","","A","23 Feb 2019","I emailed them for a status update. They said no admission offers are being sent out and official rejection emails will be sent out in a few weeks."
"University Of Florida","Chemistry","PhD (F19)","Accepted"," E-mail","29 Jan 2019","","","","","","I","23 Feb 2019","About 5 years of research / professional experience, completed M.S., 5 papers (two-first author, two-second author, one-fifth author), 1 paper underway, 1 patent, several poster presentations, iBT TOEFL 104. Got a TAship for the first year."
"Indiana University Bloomington","Chemistry","PhD (F19)","Accepted"," E-mail","22 Feb 2019","","","","","","I","23 Feb 2019","Had a Skype interview on Jan 31st and got the admission offer on Feb 22nd.
4.5 years of professional experience, M.S. in Chemistry, two 1st author publications, one 1st author manuscript under review, multiple poster presentations."
"California Institute Of Technology","Chemistry","PhD (F19)","Rejected"," E-mail","22 Feb 2019","","","","","","A","23 Feb 2019",""
"California Institute Of Technology","Chemistry","PhD (F19)","Rejected"," E-mail","23 Feb 2019","  3.50","158","157","4.50","","","22 Feb 2019",""
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Accepted"," Website","22 Feb 2019","","","","","","A","22 Feb 2019",""
"University Of Utah","Biological Chemistry","PhD (F19)","Rejected"," Postal Service","14 Feb 2019","","","","","","I","22 Feb 2019","I received a letter from the University of Utah with this bad news. It's issued on Feb 14."
"Wayne State University","Chemistry","PhD (F19)","Wait listed"," E-mail","22 Feb 2019","","","","","","I","22 Feb 2019","The ones who don’t want to accept the offer please do it faster;("
"University Of California, Irvine","Chemistry","PhD (F19)","Accepted"," Website","22 Feb 2019","  3.75","163","160","5.00","","U","22 Feb 2019","Checked website because I was getting impatient and update appeared there first. Few minutes later a professor on admissions committee emailed me saying they are enthusiastic about me, and asked to call them. Thankful as it is my top choice!"
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Rejected"," E-mail","19 Feb 2019","","","","","","A","21 Feb 2019","Same experience as the person below. ""wow you'd really love it here, you're a great fit for the program,  it'd be crazy if you were rejected"". This was my top choice despite multiple acceptances and I said so at every interview so that's a shame."
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Rejected"," Website","19 Feb 2019","  3.93","164","160","5.00","680","A","21 Feb 2019","post-interview: ""you're my top choice applicant! I would love to have you in my lab"" ""please choose UCSF, I can't wait to see you in the fall!"""
"Michigan State University","Chemistry","PhD (F19)","Accepted"," E-mail","21 Feb 2019","  3.64","153","162","3.50","","I","21 Feb 2019","My dream school!!!..Spartans!"
"City University Of New York (CUNY)","Chemistry","PhD (F19)","Accepted"," E-mail","9 Feb 2019","  3.96","159","166","4.00","","A","21 Feb 2019","Email to check status, followed by official email."
"New York University ( NYU)","Chemistry","PhD (F19)","Accepted"," E-mail","7 Feb 2019","  3.96","159","166","4.00","600","A","21 Feb 2019",""
"University Of Florida","Chemistry","PhD (F19)","Accepted"," E-mail","21 Feb 2019"," ","156","167","4.50","720","I","21 Feb 2019","It's been a really long wait :)"
"University Of California, Berkeley","Chemistry","PhD (F19)","Rejected"," E-mail","21 Feb 2019","  3.91","157","160","4.50","720","U","21 Feb 2019","Disappointed. UC Berkeley was my top choice. They did not even send a rejection email. I had to email the department asking for an application status update to find out."
"ETH Zürich","Chemistry","Masters (F19)","Accepted"," E-mail","19 Feb 2019","","","","","","","21 Feb 2019","GPA 1.27/1.0; no GRE/TOEFL; one 5-month-internship; one yr of research experience but no paper; one recommendation letter."
"UC San Francisco (UCSF)","Chemistry And Chemical Biology","PhD (F19)","Accepted"," Phone","19 Feb 2019","","","","","","A","21 Feb 2019","Admission decisions via email will be sent out on Feb 22 or Feb 23. I received a call from one of the PIs on the interview committee to congratulate me. Is this real life?!"
"Ohio State University","Chemistry","PhD (F19)","Rejected"," Website","21 Feb 2019","","","","","","A","21 Feb 2019",""
"UMass-Amherst","Chemistry","PhD (F19)","Accepted"," E-mail","8 Feb 2019"," ","158","165","3.00","810","I","21 Feb 2019","Got emailed by POI with the decision, although I had not contacted him before. Stipend 31K."
"Virginia Tech","Chemistry","PhD (F19)","Accepted"," E-mail","1 Feb 2019"," ","158","165","3.00","810","I","21 Feb 2019","Interviewed on 28th Jan, unofficial email from prof on 31st Jan informing me of my acceptance, got official email from grad school on Feb 1st. My first acceptance. Excited. Stipend 24K. Is anybody getting better stipend from virginia tech chem dept?"
"University Of Colorado, Boulder","Analytical Chemistry","PhD (F19)","Rejected"," Website","20 Feb 2019","","","","","","A","21 Feb 2019","email to check website. I was accepted to better schools so it was a bit of a surprise, but it's all good. congratulations to those accepted, & honestly it just feels great to have finally received all of my decisions!"
"SUNY - Stony Brook","Chemistry","PhD (F19)","Accepted"," E-mail","21 Jan 2019","  3.50","144","157","3.50","","I","21 Feb 2019","Origin-India, BS-MS Chemistry Major, Profile-Strong LORs, Very poor GRE, Decent TOEFL with 26 in speaking, 3 Scholarships, 1 Travel Grant, 1 ACS Omega (2nd Author), One submitted (2nd author), 2 manuscripts under preparation(one 1st author, one 3rd author), One international internship. Research background >> Academic scores"
"University Of California, Riverside","Chemistry","PhD (F19)","Accepted"," E-mail","21 Feb 2019","  3.50","144","157","3.50","","I","21 Feb 2019","Origin-India, Profile-Strong LORs, Very poor GRE, Decent TOEFL with 26 in speaking, 3 Scholarships, 1 Travel Grant, 1 ACS Omega (2nd Author), One submitted 2nd author, 3 manuscripts under preparation, One international internship. Research background >> Academic scores"
"Ohio State University","Chemistry (not Sure About Division)","PhD (F19)","Accepted"," E-mail","14 Feb 2019","  3.60","152","161","3.00","","I","21 Feb 2019","B.Sc in Chemistry GPA 16.95 M.Sc in Analytical Chemistry GPA 18.58 University of Tehran
1 publication first author .... 2 years part time research after graduation 
First time noticed on website that I'm Admitted (couldn't believe it) then asked Ms, Hambatch in Department She said Yes it's true Congratulations! 
Received official letter on 14 Feb  
Oh Thank GOD! one of my best options dreeeeeeaaaaaaaaaming about it :) 
"
"Wayne State University","Chemistry (Biochemistry)","PhD (F19)","Accepted"," E-mail","21 Feb 2019","  3.60","152","161","3.00","","","21 Feb 2019","B.Sc in Chemistry GPA 16.95     M.Sc in Analytical Chemistry GPA 18.58   University of Tehran
1 publication first author 
Short interview by 2 members of admission committee (5':25"") on Feb 14  
got first notifying email of acceptance from one committee member Feb 17
"
"University Of Pittsburgh","Chemistry","PhD (F19)","Rejected"," E-mail","21 Feb 2019","  3.48","155","154","4.00","","I","21 Feb 2019","1 pub, 1 conference, 4 good LORs, TOEFL 105"
"University Of Pittsburgh","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","","","","","","A","20 Feb 2019",""
"University Of Virginia","Chemistry","PhD (F19)","Rejected"," E-mail","21 Feb 2019","","","","","","I","20 Feb 2019","Soooooo sad!"
"University Of Pittsburgh","Chemistry","PhD (F19)","Accepted"," E-mail","20 Feb 2019","","","","","","A","20 Feb 2019",""
"Northeastern University","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","","","","","","A","20 Feb 2019","Not really disappointed since I got into several top 10 schools. This was my safety and their research honestly looks standard & unexciting. Best of luck"
"University Of Pittsburgh","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","  3.10","161","161","4.50","","A","20 Feb 2019","First reject, and top choice :("
"Penn State University","Chemistry","PhD (F19)","Rejected"," E-mail","25 Jan 2019","  3.61","158","150","5.50","540","A","20 Feb 2019","Nice rejection email"
"University Of Pittsburgh","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","  3.90","150","170","3.50","810","U","20 Feb 2019","Didn’t expect that."
"University Of Pittsburgh","Chemistry","PhD (F19)","Rejected"," E-mail","20 Feb 2019","  3.61","158","150","5.50","540","A","20 Feb 2019","Sent a pretty generic email- was supposed to be notified by February 2nd."
"University Of Colorado, Boulder","Chemistry","PhD (F19)","Rejected"," Website","20 Feb 2019","  3.70","151","157","4.00","","A","20 Feb 2019","Received email notification to check application portal- best of luck to everyone!"
"Michigan State University","Chemistry","PhD (F19)","Accepted"," E-mail","20 Feb 2019","  3.81","157","165","3.50","760","I","20 Feb 2019","3 years of research, 2 nth author pubs, top 10% of class, interviewed a week ago"
"University Of Pittsburgh","Chemistry","PhD (F19)","Other"," Other","20 Feb 2019","","","","","","U","20 Feb 2019","Has anybody heard back from the admissions office? I received a notification that they are reviewing applications after February 1st, but I have not heard anything since."
