"University Of California, Irvine","Mathematical, Computational, And Systems Biology (MCSB)","PhD (F19)","Other"," Other","13 Mar 2019","","","","","","U","13 Mar 2019","Anyone heard anything from the Program recently? I went to the interview but have not heard anything yet. 
Are they giving out offers in many rounds? Will we know if we are waitlisted? If you are having other better choices, PLEASE kindly decline the offer ASAP. There are other applicants have no offers for now."
"Richard Gilder Graduate School","Comparative Biology","PhD (F19)","Rejected"," E-mail","11 Mar 2019","","","","","","","13 Mar 2019","Expected as much because I was not offered an interview."
"ETH Zürich","Computational Biology And Bioinformatics","Masters (F19)","Accepted"," E-mail","13 Mar 2019","","","","","","I","13 Mar 2019","Still no news from ESOP"
"Tulane University","Cell And Molecular Biology","PhD (F19)","Rejected"," E-mail","12 Mar 2019","  3.36","150","155","3.00","","I","13 Mar 2019",""
"University Of California, Davis","Nutritional Biology","PhD (F19)","Accepted"," Website","13 Mar 2019","","","","","","I","13 Mar 2019",""
"Case Western Reserve University","Biology (Pathology)","Masters (F19)","Other"," Other","13 Mar 2019","","","","","","A","12 Mar 2019","To anyone waiting to hear back for a biology degree, I was contacted by the head of admissions of Pathology, the program I applied under. We did a phone interview and she notified me of acceptance about a week later. I got the email later that day. I hope this helps, especially if you applied to the Pathology department. Not sure if this is the way they do it for all areas of biology."
"Iowa State University","Bioinformatics And Computational Biology","PhD (F19)","Accepted"," E-mail","7 Mar 2019","","","","","","A","12 Mar 2019",""
"University Of Oregon","Biology (ie2)","PhD (F19)","Accepted"," E-mail","10 Mar 2019","","","","","","A","12 Mar 2019","Spoke to 2 PIs I was interested in the summer before applying on the phone. One is actively recruiting at this time. I have 3 years of research experience (1 as undergrad, 2 as technician), 2 publications and 1 poster."
"Worcester Polytechnic Institute","Bioinformatics And Computational Biology","PhD (F19)","Accepted"," Website","12 Mar 2019","","","","","","","12 Mar 2019","Waiting for over 3 months.. finally got an email to check the portal and saw the offer, so excited and congrats to everyone!!"
"Rockefeller University","Biology","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","A","12 Mar 2019","Rejected from interview - expected after not hearing back last week, but somewhat devastating"
"Princeton University","Molecular Biology","PhD (F19)","Wait listed"," E-mail","8 Mar 2019","  3.77","158","165","4.50","","A","12 Mar 2019",""
"Iowa State University","Molecular Cellular And Developmental Biology (MCDB)","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","I","12 Mar 2019",""
"Duke University","Biology","PhD (F19)","Wait listed"," E-mail","12 Mar 2019","  3.63","161","158","4.50","","A","12 Mar 2019","Notice from P.O.I. of being put on waitlist. Attended interview weekend."
"Michigan State University","Plant Biology","PhD (F19)","Rejected"," E-mail","12 Mar 2019","","","","","","","12 Mar 2019","""On behalf of the faculty in the Department of Plant Biology, I write to thank you for your application to our graduate program. I regret to inform you that we have chosen other candidates for admission and fellowships. We had a strong pool of candidates and the faculty chose those individuals whose qualifications and interests’ best aligned with the research focus of their labs.
I appreciate your consideration of Michigan State University and wish you success in your future endeavors."""
"Biology","TBMH","PhD (F19)","Accepted"," E-mail","7 Mar 2019","  3.39","151","159","3.00","","I","12 Mar 2019",""
"University Of Illinois At Urbana-Champaign","Molecular And Cellular Biology","PhD (F19)","Accepted"," E-mail","11 Mar 2019","  3.98","157","161","4.00","","I","12 Mar 2019",""
"University Of Southern California","Molecular Biology MCB","PhD (F19)","Accepted"," Phone","6 Mar 2019","","","","","","A","12 Mar 2019","To the person below how was curious about interviews and contacts: I interviewed on jan 25th and was contacted by Dr. Chiolo by phone"
"University Of Minnesota","Plant And Microbial Biology","PhD (F19)","Accepted"," Website","11 Mar 2019","","","","","","A","12 Mar 2019",""
"University Of Utah","Molecular Biology","PhD (F19)","Accepted"," Phone","11 Mar 2019","","","","","","A","12 Mar 2019",""
"New York Medical College","Biochemistry And Molecular Biology","Masters (F19)","Accepted"," E-mail","11 Mar 2019","","","","","","A","11 Mar 2019",""
"University Of Pennsylvania","Biology Graduate Studies","PhD (F19)","Accepted"," E-mail","12 Mar 2019","  3.95","164","160","4.50","","I","11 Mar 2019","Got an informal email. Will get a formal offer in a few days! OVERJOYED :) :)"
"University Of Southern California","Molecular Biology","PhD (F19)","Wait listed"," E-mail","11 Mar 2019","","","","","","A","11 Mar 2019","I was contacted by the graduate programs manager (DB) that I'm waitlisted. He states that all wait lists offers will be made before April 15th,  hoping it will be good news since it's my top school."
"University Of Florida","Biology","PhD (F19)","Wait listed"," Other","11 Mar 2019","","","","","","A","11 Mar 2019","I received a waitlist notification after emailing the grad coordinator. Limited TAships were available this year. Also, they lost my letters of rec..."
"University Of Minnesota","Biochemistry, Molecular Biology And Biophysics (BMBB)","PhD (F19)","Wait listed"," E-mail","8 Mar 2019","","","","","","","11 Mar 2019","On the waitlist but would 100% love to attend."
"Princeton University","Molecular Biology","PhD (F19)","Accepted"," E-mail","6 Mar 2019","  3.26","170","166","4.00","","A","10 Mar 2019","Loved the program, the people, the campus. Just accepted the offer :)"
"Roswell Park Comprehensive Cancer Center","Cancer Biology","PhD (F18)","Accepted"," E-mail","8 Mar 2019","  3.51","0","37","82.00","","A","10 Mar 2019","I'm ugly crying. Worked in two labs at my home institution, and worked in an off-campus lab for a summer."
"SUNY Stony Brook","Biochemistry And Structural Biology","PhD (F19)","Accepted"," E-mail","7 Mar 2019","  3.95","165","160","4.50","","I","10 Mar 2019",""
"Harvard Graduate School Of Arts And Sciences","Chemical Biology","PhD (F19)","Rejected"," Website","8 Mar 2019","  3.93","164","160","5.00","680","A","9 Mar 2019",""
"University Of Utah","Molecular Biology","PhD (F19)","Rejected"," E-mail","7 Mar 2019","","","","","","I","9 Mar 2019",""
"University Of California, Berkeley","Molecular Biology","PhD (F19)","Rejected"," E-mail","30 Jan 2019","","","","","","I","9 Mar 2019",""
"Columbia University","Ecology, Evolution And Conservation Biology","Masters (F19)","Accepted"," Website","6 Mar 2019","","","","","","","9 Mar 2019","Checked the website, was not emailed"
"Princeton University","Molecular Biology","PhD (F19)","Accepted"," E-mail","6 Mar 2019","","","","","","A","8 Mar 2019","My first choice. Amazing community.
"
"Northwestern University","Plant Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","A","8 Mar 2019","top choice super bummed
Thank you for your application to the PhD Program in Plant Biology and Conservation at Northwestern University and the Chicago Botanic Garden. We had an impressive pool of applicants this year making admission into the program very competitive, with an acceptance rate of less than 10%. I regret to inform you that we will not be able to offer you a position in the PhD program. I wish you all the best in the future."
"University Of California, Riverside","Plant Biology","PhD (F19)","Other"," E-mail","9 Mar 2019","","","","","","O","8 Mar 2019","Anyone hear back from the Plant Biology program post-recruitment day (02/15/19)?"
"University Of Californa, Los Angeles (UCLA)","Ecology And Evolutionary Biology","Masters (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","A","8 Mar 2019",""
"Stanford University","Biosciences Chemical And Systems Biology CSB","PhD (F19)","Accepted"," E-mail","9 Mar 2019","  3.80","164","167","4.00","","A","8 Mar 2019","Super excited!! Looks like admissions is on a rolling basis."
"Harvard University","Chemical Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","  3.96","156","161","5.00","","A","8 Mar 2019","Rejected after not receiving an invitation for an interview. Not surprised."
"University Of Oregon","Biology (Neuro)","PhD (F19)","Other"," Other","8 Mar 2019","  3.10","167","163","6.00","","A","8 Mar 2019","I'm the poster that posted an acceptance to University of Oregon. Please shoot me a message to HawaiiLee808 for more info about my app."
"Saint Louis University (SLU)","Bioinformatics And Computational Biology","Masters (F19)","Accepted"," E-mail","7 Mar 2019","  3.16","163","157","5.00","","A","8 Mar 2019","Conditional upon taking a genetics class over the summer at an accredited school."
"Princeton University","Molecular Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","I","8 Mar 2019",""
"Carnegie Mellon University & University Of Pittsburgh","Joint CMU-Pitt Ph.D Program In Computational Biology (CPCB), PhD (F19)","PhD (F19)","Accepted"," E-mail","7 Mar 2019","","","","","","A","8 Mar 2019","After Interview."
"Princeton University","Molecular Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","A","8 Mar 2019","RE-RE-RE-RE-REJECTED. I was so crushed by this at first, but everything still worked out the way that it needed to. Princeton's loss."
"Princeton University","Molecular Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","","8 Mar 2019",""
"Princeton University","Molecular Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","I","8 Mar 2019",""
"Princeton University","Molecular Biology","PhD (F19)","Wait listed"," E-mail","8 Mar 2019","","","","","","A","8 Mar 2019",""
"Princeton University","Molecular Biology","PhD (F19)","Wait listed"," E-mail","8 Mar 2019","","","","","","A","8 Mar 2019",""
"Stony Brook University","Molecular And Cellular Biology","PhD (F19)","Accepted"," E-mail","8 Mar 2019","","","","","","I","8 Mar 2019",""
"Oregon Health & Science University (OHSU)","Program In Molecular And Cellular Biology (PMCB)","Masters (F19)","Wait listed"," E-mail","5 Mar 2019","","","","","","A","8 Mar 2019","It was said at the interview (Feb 20-22) that the program hopes to matriculate 16 people, but that last year they overadmitted (20 people matriculated instead of 16), so they are being more cautious this time around."
"University Of Californa, Los Angeles (UCLA)","Molecular Biology","PhD (F19)","Rejected"," E-mail","8 Mar 2019","","","","","","A","8 Mar 2019","Utterly mediocre GPA from top 20-ish school.  Very good GRE and a few papers."
"University Of Massachusetts, Amherst","Molecular Cellular Biology","PhD (F19)","Accepted"," E-mail","7 Mar 2019","","","","","","A","8 Mar 2019",""
"UC San Diego (UCSD)","Biology","PhD (F19)","Accepted"," E-mail","7 Mar 2019","","","","","","A","8 Mar 2019",""
"Princeton University","Molecular Biology","PhD (F19)","Other"," Other","8 Mar 2019","","","","","","A","8 Mar 2019","Shrödinger’s Application... I am both accepted and rejected until there is any form of communication?"
"University Of Illinois At Urbana Champaign","Molecular And Cellular Biology","PhD (F19)","Accepted"," E-mail","28 Feb 2019","","","","","","U","8 Mar 2019","UGPA-3.0 Masters GPA-4.0 Strong LOR"
"Tufts University","Biology","PhD (F19)","Interview"," E-mail","7 Mar 2019","","","","","","I","8 Mar 2019",""
"University Of Southern California","Molecular Biology","PhD (F19)","Other"," Other","7 Mar 2019","","","","","","O","7 Mar 2019","TPB: Congrats on being accepted for Molecular biology PhD! Do you mind sharing whether you were interviewed and who contacted you about the decision? Any other info would be greatly appreciated. Thanks!"
"Boston University","Molecular Biology, Cell Biology And Biochemistry","PhD (F19)","Rejected"," E-mail","23 Jan 2019","","","","","","A","7 Mar 2019",""
"Stanford University","Biosciences (Biology)","PhD (F19)","Accepted"," E-mail","7 Mar 2019"," ","157","167","3.50","","I","7 Mar 2019","GPA: 8.88/10.00 (#1 out of 45). 4 years of research. 1 coauthor at high impact journal. 3 submitted papers, including 1 first author. Great LORs."
"Vanderbilt University","Quantitative And Chemical Biology (QCB)","PhD (F19)","Accepted"," E-mail","7 Mar 2019","","","","","","A","7 Mar 2019",""
"UC San Diego (UCSD)","Biology","PhD (F19)","Accepted"," E-mail","6 Mar 2019"," ","157","156","4.00","","A","7 Mar 2019",""
"University Of Southern California","Molecular Biology","PhD (F19)","Accepted"," Phone","6 Mar 2019","","","","","","A","7 Mar 2019",""
"UC Santa Barbara","Molecular, Cellular And Developmental Biology","PhD (F19)","Rejected"," Website","7 Mar 2019","","","","","","I","7 Mar 2019",""
"Carnegie Mellon University","Computational Biology","Masters (F19)","Rejected"," E-mail","7 Mar 2019","","","","","","","7 Mar 2019","General rejection email. Disappointed."
"University Of California, Berkeley","Computational Biology","PhD (F19)","Rejected"," E-mail","6 Mar 2019","  3.68","168","170","5.00","","A","7 Mar 2019","Received an email to check the website."
"Northern Arizona University","Biology","PhD (F19)","Wait listed"," E-mail","7 Mar 2019","","","","","","I","7 Mar 2019","If you have an offer and plan to decline it, please let them know as soon as possible. Thanks."
"City University Of New York (CUNY)","Biology","PhD (F19)","Other"," E-mail","6 Mar 2019","","","","","","O","7 Mar 2019","Same person who had a plant sciences interview a month ago---emailed for an update on the admissions timeline and was told they were still reviewing applications and i would hear back soon!"
"Brown University","Molecular Biology, Cell Biology, And Biochemistry (MCB)","PhD (F19)","Accepted"," E-mail","7 Mar 2019","","","","","","A","7 Mar 2019","Received an e-mail from one of the committee members that they had an update on my application and scheduled a phone call for later today. However, I received an acceptance letter this morning before the phone call. Very excited about this!"
"University Of California, Berkeley","Computational Biology","PhD (F19)","Rejected"," E-mail","6 Mar 2019","","","","","","A","7 Mar 2019","They send an email directing you to the portal to view their decision."
"University Of California, Berkeley","Computational Biology","PhD (F19)","Rejected"," E-mail","7 Mar 2019","  3.20","157","170","3.50","","I","7 Mar 2019","Email to check the result online"
"University Of Californa, Los Angeles (UCLA)","MBIDP, Cell And Developmental Biology (CDB)","PhD (F19)","Other"," Other","7 Mar 2019","","","","","","O","7 Mar 2019","To the person below who is waitlisted at CDB, did you have an interview? Thank you"
"University Of Texas At Austin","Plant Biology","PhD (F19)","Accepted"," E-mail","5 Mar 2019"," ","157","167","3.50","","I","7 Mar 2019","GPA: 8.88/10.00 (#1 out of 45). 4 years of research. 1 coauthor at high impact journal. 3 submitted papers, including 1 first author. Great LOR."
"Johns Hopkins University","Biology","PhD (S19)","Other"," Other","7 Mar 2019","","","","","","O","7 Mar 2019","Anyone know when they send out decisions? I haven't seen anyone post for biology program yet"
"Harvard Graduate School Of Arts And Sciences","OEB Organismic And Evolutionary Biology","PhD (F19)","Wait listed"," Website","7 Mar 2019","","","","","","A","6 Mar 2019","Decisions should be up on the web portal now! That's how I got mine, hoping to eventually move out of that waitlisted column"
"University Of Californa, Los Angeles (UCLA)","MBIDP Cell Developmental Biology (CDB)","PhD (F19)","Wait listed"," E-mail","4 Mar 2019","","","","","","","6 Mar 2019",""
"Harvard University","Systems Biology","PhD (F19)","Rejected"," E-mail","5 Mar 2019","","","","","","I","6 Mar 2019",""
"University Of Oklahoma","Biology","Masters (F19)","Rejected"," E-mail","6 Mar 2019","","","","","","A","6 Mar 2019","Received an email to check the application portal. All I have to say is-- OUch."
"University Of Rhode Island","Biology","PhD (F19)","Rejected"," Other","6 Mar 2019","","","","","","A","6 Mar 2019","Asked about application status"
"University Of California, San Diego(UCSD)","Bioinformatics And Systems Biology(BISB)","PhD (F19)","Accepted"," E-mail","6 Mar 2019","","","","","","A","6 Mar 2019","Got official letter from dean, waiting on letter from department."
"University Of California, San Diego","Bioinformatics And Systems Biology(BISB)","PhD (F19)","Accepted"," E-mail","6 Mar 2019","","","","","","A","6 Mar 2019","Letter from dean, recommending me for admission. Still waiting for letter from department itself."
"Tufts University","Biology Master Of Science Open Choice Degree Program","Masters (F19)","Accepted"," E-mail","30 Jan 2019","","","","","","U","6 Mar 2019",""
"University Of South Florida","Cancer Biology","PhD (F19)","Rejected"," E-mail","6 Mar 2019","  3.03","150","155","3.00","","I","6 Mar 2019",""
"USC","Molecular And Computational Biology","PhD (F19)","Accepted"," Phone","6 Mar 2019","","","","","","A","6 Mar 2019","So stoked!!!!"
"Rice University","Biochemistry & Cell Biology (BCB)","PhD (F19)","Wait listed"," E-mail","6 Mar 2019","","","","","","I","5 Mar 2019",""
"University Of Southern California","Molecular And Computational Biology","PhD (F19)","Accepted"," Phone","6 Mar 2019","","","","","","","5 Mar 2019","I’m so stoked!!! First acceptance!!"
"University Of Colorado Boulder (CU Boulder)","Ecology And Evolutionary Biology","Masters (F19)","Rejected"," E-mail","6 Mar 2019","","","","","","","5 Mar 2019","Received email to check application portal"
"Harvard Graduate School Of Arts And Sciences","Systems Biology","PhD (F19)","Rejected"," E-mail","5 Mar 2019","  3.68","168","170","5.00","","A","5 Mar 2019","Received an email to check the website."
"Iowa State University","Bioinformatics And Computational Biology","PhD (F19)","Accepted"," E-mail","5 Mar 2019","","","","","","A","5 Mar 2019",""
"UC Davis","Biochemistry, Molecular, Cellular And Developmental Biology (BMCDB)","PhD (F19)","Accepted"," E-mail","5 Mar 2019","","","","","","U","5 Mar 2019","Email from Deptt Chair, looking forward to formal letter from Office of Graduate Studies."
"Harvard University","Organismic And Evolutionary Biology (OEB)","PhD (F19)","Accepted"," E-mail","5 Mar 2019","  4.00","158","157","5.00","","A","5 Mar 2019","Email from P.I. Could not be more excited! Official notifications will be coming ""soon"" with previous interactions indicating sometime this week."
"Duke University","Cell And Molecular Biology (CMB)","PhD (F19)","Wait listed"," E-mail","4 Mar 2019","","","","","","O","5 Mar 2019","If you are accepted into the CMB program, first congratulations! 
I am currently waitlisted, so if you have made a decision to accept another offer, please notify the CMB program so that people like me have another shot.
Thanks!"
"UC San Francisco (UCSF)","Integrative Program For Quantitative Biology (iPQB)","PhD (F19)","Rejected"," E-mail","4 Mar 2019","","","","","","A","5 Mar 2019",""
"UC San Francisco (UCSF)","Integrated Program In Quantitative Biology (IPQB)","PhD (F19)","Rejected"," E-mail","5 Mar 2019","","","","","","U","5 Mar 2019","One of the PIs called me and asked me to come after interview--I was excited. But well..."
